Price,Title,Brand,Processor Brand,Memory Technology,Hard Disk Description,DisplaySizeInches,HorizontalPixels,VerticalPixels,WeightKg,Refurbished,base_color,RAM_in_GB,Graphics_Coprocessor_Brand,OS_Name,Graphics Storage (GB),Laptop_Type,ProcessorManufacturer,ProcessorSpeedGHz,PPI,Total_RAM_Storage,Price_USD,Price_Euro
461,"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",lenovo,Intel,other,SSD,15.6,1920.0,1080.0,1.55128464,0,Grey,12,Intel,Windows,1,Laptop,Other,1.1,141.21199808219862,13,368.8,322.7
1210,"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Space Gray",apple,Other,other,SSD,13.6,2560.0,1664.0,1.2246984,0,Gray,5,Apple,Mac,6,Laptop,Other,3.2,224.5056083176765,11,968.0,847.0
292,"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" FHD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 in S Mode, Silver",acer,Intel,ddr4,Other,15.6,1920.0,1080.0,1.65107488,0,Silver,4,Intel,Windows,4,Laptop,Other,5.0,141.21199808219862,8,233.60000000000002,204.39999999999998
245,"HP 2023 Newest Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",hp,Intel,other,Other,14.0,1366.0,768.0,1.5195332,0,Gray,4,Intel,Other,4,Chromebook,Other,2.6,111.93520355955212,8,196.0,171.5
257,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",hp,Intel,other,Other,14.0,1366.0,768.0,1.4696380800000002,0,White,4,Intel,Windows,4,Laptop,Other,4.0,111.93520355955212,8,205.60000000000002,179.89999999999998
566,"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",hp,Intel,other,SSD,15.6,1366.0,768.0,1.6964340800000002,0,Silver,16,Intel,Windows,1,Laptop,Other,4.0,100.45466986113652,17,452.8,396.2
1890,"MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US",msi,Intel,ddr5,SSD,15.6,1920.0,1080.0,3.44276328,0,Black,16,NVIDIA,Windows,6,Gaming,Intel I7,5.0,141.21199808219862,22,1512.0,1323.0
883,"HP Victus 15 Gaming Laptop, 15.6"" FHD 144Hz Display, AMD Ryzen 5 7535HS, 16GB DDR5 RAM, 1TB PCIe M.2 SSD, NVIDIA GeForce RTX 2050, HDMI, Webcam, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",hp,AMD,ddr5,SSD,15.6,1920.0,1080.0,2.3133192,0,Silver,16,NVIDIA,Windows,16,Gaming,AMD RYZEN 5,5.0,141.21199808219862,32,706.4000000000001,618.0999999999999
401,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",hp,Intel,other,Other,15.6,1366.0,768.0,1.59664384,0,Red,16,Intel,Windows,6,Laptop,Other,5.0,100.45466986113652,22,320.8,280.7
680,"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",dell,Intel,ddr4,SSD,15.6,1920.0,1080.0,1.6782904,0,Black,32,Intel,Windows,8,Laptop,Intel I5,2.4,141.21199808219862,40,544.0,475.99999999999994
910,"Late 2020 Apple MacBook Air with Apple M1 Chip (13.3 inch, 8GB RAM, 256GB SSD) Space Gray (Renewed)",apple,Other,other,SSD,13.3,2560.0,1600.0,1.2700576,1,Gray,8,Other,Mac,8,Laptop,Other,3.0,226.98300468106115,16,728.0,637.0
1122,"Apple 2022 MacBook Air M2 Chip (13-inch, 8GB RAM, 256GB SSD Storage) (QWERTY English) Midnight (Renewed Premium)",apple,Other,other,SSD,13.0,2560.0,1600.0,2.28610368,1,other,16,Apple,Mac,24,Laptop,Other,3.2,232.22107401985488,40,897.6,785.4
530,"OTVOC Laptop 16 inch Windows 11 Pro, VocBook 16, Intel 12th Gen N95, Up to 3.4GHz, 16GB DDR5 RAM, 1TB PCIE NVME SSD, 16"" FHD IPS 1920x1200, 2.0MP, 2.4G+5G WiFi, BT 5.0, HDMI, RJ45, Type C, Gray",otvoc,Intel,ddr5,SSD,16.0,1920.0,1200.0,2.60361808,0,Gray,16,Intel,Windows,2,Laptop,Other,3.0,141.50971698084905,18,424.0,371.0
503,"Morostron 15.6"" Full Metal Laptop Intel Quad-Core Processor, 16GB LPDDR4 RAM 256GB SSD and 1080P FHD IPS, Windows 11 Laptop Computer with Backlit Keyboard and Finger Print Touch ID, AC WiFi,Gray",morostron,Intel,other,SSD,15.6,1920.0,1080.0,1.6782904,0,Gray,16,Intel,Windows,16,Laptop,Other,3.0,141.21199808219862,32,402.40000000000003,352.09999999999997
381,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, 1920 x 1080 IPS FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card, Mini-HDMI",anmesc,Intel,other,Other,15.6,1920.0,1080.0,1.64653896,0,other,16,Intel,Windows,6,Laptop,Other,2.9,141.21199808219862,22,304.8,266.7
244,"14'' Laptop 8GB DDR4 512GB SSD, Intel Celeron N4000 Processors Laptop Computer, Windows 11 1080P IPS FHD Display Laptop Computer,Numeric Keypad USB 3.0, Bluetooth 4.2, 2.4/5G WiFi",tuhui,Intel,ddr4,SSD,14.0,1920.0,1080.0,1.78715248,0,other,16,Intel,Windows,4,Laptop,Other,3.0,157.3505121487356,20,195.20000000000002,170.79999999999998
815,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",hp,Intel,other,SSD,17.3,1600.0,900.0,2.381358,0,Silver,16,Intel,Windows,512,Laptop,Other,3.0,106.11306214269258,528,652.0,570.5
884,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",sgin,Intel,ddr4,SSD,17.3,1366.0,768.0,1.84611944,0,Black,4,Intel,Other,2,Laptop,Intel I3,2.4,90.58340172449304,6,707.2,618.8
1768,"16 inch Laptop, 16GB DDR4 512GB SSD, Intel Quad-Core N95 Processor (up to 3.4Ghz) Windows 11 Pro, Laptop Computer with Metal Body Support 16:10 1080P, 2.4/5G WiFi, Bluetooth 4.2, Full-Function Type-C",xkmurt,Intel,ddr4,SSD,16.0,1920.0,1200.0,1.93683784,0,other,16,Intel,Windows,2,Laptop,Other,3.0,141.50971698084905,18,1414.4,1237.6
1316,"Acer Predator Triton 14 Gaming/Creator Laptop | 13th Gen Intel i7-13700H | NVIDIA GeForce RTX 4050 | 14"" WUXGA 165Hz G-SYNC Display | 16GB LPDDR5 | 512GB PCIe Gen 4 SSD | Killer WiFi 6E | PT14-51-78B4",acer,Intel,other,SSD,14.0,1920.0,1200.0,1.70097,0,other,16,NVIDIA,Windows,6,Gaming,Other,4.0,161.72539083525606,22,1052.8,921.1999999999999
407,"2017 Apple Macbook Air with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) (QWERTY English) Silver (Renewed)",apple,Intel,other,SSD,13.3,1366.0,768.0,1.360776,1,Silver,8,Intel,Mac,1,Laptop,Intel I5,1.8,117.82653006268644,9,325.6,284.9
1073,"Acer Nitro 5 AN515-58-57Y8 Gaming Laptop | Intel Core i5-12500H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 16GB DDR4 | 512GB Gen 4 SSD | Killer Wi-Fi 6 | Backlit Keyboard",acer,Intel,ddr4,SSD,15.6,1920.0,1080.0,2.49929192,0,other,16,NVIDIA,Windows,4,Gaming,Intel I5,5.0,141.21199808219862,20,858.4000000000001,751.0999999999999
324,"Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue",lenovo,Other,other,Other,14.0,1920.0,1080.0,1.2972731199999998,0,Blue,4,Intel,Other,4,Chromebook,Other,2.0,157.3505121487356,8,259.2,226.79999999999998
271,"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",acer,Intel,other,Other,11.6,1366.0,768.0,1.2020188,0,other,4,Intel,Other,4,Chromebook,Other,5.0,135.0942111925629,8,216.8,189.7
1088,"ASUS ROG Strix G15 (2022) Gaming Laptop, 15” 16:10 FHD 144Hz, GeForce RTX 3050, AMD Ryzen™ 7 6800H/HS, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6E, Windows 11, G513RC-ES73, Eclipse Gray",asus,AMD,ddr5,SSD,15.6,1920.0,1080.0,3.94171448,0,Gray,16,NVIDIA,Windows,4,Gaming,Other,4.7,141.21199808219862,20,870.4000000000001,761.5999999999999
725,"HP 17 Business Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Pro, Silver",hp,Intel,other,SSD,17.3,1600.0,900.0,2.0865232,0,Silver,32,Intel,Windows,32,Laptop,Intel I3,3.0,106.11306214269258,64,580.0,507.49999999999994
672,"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",dell,Intel,other,SSD,15.6,1920.0,1080.0,1.73272144,0,Black,16,Intel,Windows,16,Laptop,Other,4.2,141.21199808219862,32,537.6,470.4
1904,"Lenovo ThinkPad X1 Carbon Gen 11 21HM002DUS Black Laptop, i7-1355U, 16GB, 512GB PCIe SSD, 14.0"" IPS Touch Wide UXGA (1920x1200), Intel Iris Xe, Windows 11 Pro",lenovo,Intel,other,SSD,14.0,1920.0,1080.0,0.6350288,0,Carbon,16,Intel,Windows,16,Laptop,Other,4.7,157.3505121487356,32,1523.2,1332.8
692,"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 1TB SSD, HDMI, RJ45, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black",lenovo,AMD,other,SSD,15.6,1920.0,1080.0,1.70097,0,Black,16,AMD,Windows,6,Laptop,AMD RYZEN 5,5.0,141.21199808219862,22,553.6,484.4
319,"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",hp,Intel,other,SSD,15.0,1366.0,768.0,0.0180019325,1,Red,8,Intel,Windows,8,Laptop,Other,4.0,104.47285665558198,16,255.20000000000002,223.29999999999998
2681,"ASUS ROG Strix G16 (2023) Gaming Laptop, 16” 16:10 FHD 165Hz, GeForce RTX 4070, Intel Core i9-13980HX, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JI-AS94, Eclipse Gray",asus,Intel,ddr5,SSD,16.0,1920.0,1200.0,3.175144,0,Gray,16,NVIDIA,Windows,6,Gaming,Intel I9,5.6,141.50971698084905,22,2144.8,1876.6999999999998
272,"Laptop Computer,8GB RAM 256GB SSD, Intel Celeron Processor, Laptop Computers with 1366 * 768 IPS Display,2.4/5G WiFi, Bluetooth, Type-C, TF Card, 2MP Webcam",ugrihach,Intel,other,SSD,15.6,1366.0,768.0,1.65107488,0,other,16,Intel,Other,2,Laptop,Other,2.4,100.45466986113652,18,217.60000000000002,190.39999999999998
503,"Morostron 15.6"" Full Metal Laptop Intel Quad-Core Processor, 16GB LPDDR4 RAM 256GB SSD and 1080P FHD IPS, Windows 11 Laptop Computer with Backlit Keyboard and Finger Print Touch ID, AC WiFi,Gray",morostron,Intel,other,SSD,15.6,1920.0,1080.0,1.6782904,0,Gray,16,Intel,Windows,16,Laptop,Other,3.0,141.21199808219862,32,402.40000000000003,352.09999999999997
381,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, Laptop Computers with 1080P FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card",anmesc,Intel,other,Other,15.6,1920.0,1080.0,2.27703184,0,other,16,Intel,Windows,32,Laptop,Other,2.9,141.21199808219862,48,304.8,266.7
570,"LENOVO IdeaPad 1 Laptop, 15.6” FHD Display, Intel Celeron N4500 Processor, 20GB RAM, 1TB SSD, SD Card Reader, Numeric Keypad, HDMI, Wi-Fi 6, Windows 11 Home, 1 Year Office 365, Grey",lenovo,Intel,other,SSD,15.6,1920.0,1080.0,1.57850016,0,Grey,20,Intel,Windows,1,Laptop,Other,2.8,141.21199808219862,21,456.0,399.0
1409,"Dell Inspiron 16 5630 Laptop - Intel Core i7-1360P, 16-inch 16:10 FHD+ Display, 16GB LPDDR5 RAM, 1TB SSD, Intel Iris Xe Graphics, Windows 11 Pro, Services Included - Platinum Silver",dell,Intel,other,SSD,16.0,1920.0,1200.0,1.94137376,0,Platinum,1,Intel,Windows,6,Laptop,Intel I7,5.0,141.50971698084905,7,1127.2,986.3
1734,"Late 2021 Apple MacBook Pro with Apple M1 Pro chip (16-inch, 16GB RAM, 512GB SSD) Space Gray (Renewed)",apple,Other,other,SSD,16.2,3456.0,2234.0,3.10256928,1,Gray,16,Apple,Mac,6,Laptop,Other,3.1,254.0233485458816,22,1387.2,1213.8
547,"2019 Apple MacBook Air with 1.6GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) Space Gray (Renewed)",apple,Intel,other,SSD,13.3,2560.0,1600.0,1.59664384,1,Gray,8,Intel,Mac,1,Laptop,Intel I5,1.6,226.98300468106115,9,437.6,382.9
1904,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74",asus,Intel,ddr5,SSD,16.0,1366.0,768.0,4.63117432,0,other,16,NVIDIA,Windows,6,Gaming,Intel I7,4.9,97.9433031146081,22,1523.2,1332.8
680,"Lenovo Newest V15 Series Laptop, 24GB RAM, 1TB SSD Storage 15.6″ FHD Display with Low-Blue Light, Intel 4-Cores Upto 3.3Ghz Processor, HDMI, Ethernet Port, WiFi & Bluetooth, Windows 11 Home",lenovo,Intel,other,SSD,15.0,1920.0,1080.0,1.70097,0,Blue,24,Intel,Windows,6,Laptop,Other,4.0,146.86047800548656,30,544.0,475.99999999999994
642,"2019 Apple MacBook Pro with 1.4GHz Intel Core i5 (13 inch, 8GB RAM, 128GB SSD) - Space Gray (Renewed)",apple,Other,other,SSD,13.3,1366.0,768.0,1.34263232,1,Gray,8,Intel,Mac,1,Laptop,Intel I5,1.4,117.82653006268644,9,513.6,449.4
557,"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",dell,Intel,other,SSD,15.6,1920.0,1080.0,1.6964340800000002,0,Black,12,Intel,Windows,12,Laptop,Intel I5,1.0,141.21199808219862,24,445.6,389.9
72,"Dell 11'' HD IPS Chromebook, Intel Celeron Processor Up to 2.40GHz, 4GB Ram, 16GB SSD, Super-Fast WiFi, Chrome OS, Dale Black (Renewed)",dell,Intel,other,SSD,11.0,1366.0,768.0,1.87333496,1,Black,4,Intel,Other,4,Chromebook,Other,2.4,142.46298634852087,8,57.6,50.4
110,"Lenovo 11.6"" 300e Chromebook Touchscreen LCD 2 in 1- MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB Flash Memory Chrome OS Model 81H00000US (Renewed)",lenovo,Other,other,Other,11.6,1366.0,768.0,1.360776,1,other,4,Other,Other,4,Chromebook,Other,2.1,135.0942111925629,8,88.0,77.0
993,"2020 Apple MacBook Pro with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) Space Gray (Renewed)",apple,Other,other,SSD,13.3,2560.0,1600.0,1.360776,1,Gray,8,Other,Mac,6,Laptop,Other,3.1,226.98300468106115,14,794.4000000000001,695.0999999999999
407,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 8GB RAM, 128GB SSD + 128GB eMMC, Wi-Fi 6, Webcam, Bluetooth, 1 Year Office 365, Windows 11 Home, Grey",lenovo,Intel,other,SSD,15.6,1920.0,1080.0,1.55128464,0,Grey,8,Intel,Windows,1,Laptop,Other,2.8,141.21199808219862,9,325.6,284.9
367,"Laptop Computer, Traditional Laptop Computer, 16GB DDR4 512GB SSD, Intel Celeron Quad-Core Processors, 15.6"" 1080P FHD Laptops, 38000mWh Battery, WiFi, Type-C, TF Card, Mini-HDMI",maypug,Intel,ddr4,SSD,15.6,1920.0,1080.0,1.64653896,0,other,15,Intel,Other,6,Laptop,Other,2.9,141.21199808219862,21,293.6,256.9
381,"Laptop Computer, 15.6"" Laptop, 16GB RAM 512GB ROM, Intel Celeron Quad-Core Processors, 1920 x 1080 IPS FHD, 38000mWh Battery, WiFi, Bluetooth, Type-C, TF Card, Mini-HDMI",anmesc,Intel,other,Other,15.6,1920.0,1080.0,1.64653896,0,other,16,Intel,Windows,6,Laptop,Other,2.9,141.21199808219862,22,304.8,266.7
322,"Dell Latitude 5400 Business Laptop with Backlit Keyboard, 14"" FHD(1920x 1080) Laptop, Intel Core i5-8365U up to 4.1GHz, 16GB DDR4 RAM, 512GB SSD, Wi-Fi, Webcam, Windows 10 Pro (Renewed)",dell,Intel,ddr4,SSD,14.0,1920.0,1080.0,2.53557928,1,other,16,Intel,Windows,4,Laptop,Intel I5,4.0,157.3505121487356,20,257.6,225.39999999999998
815,"HP 17 Laptop i5-1235U, 512 GB SSD, 16GB RAM, 17.3"" HD+ Touchscreen, Win 11 Home Plus, 3 Cell, Silver Color, 64 GB Tech Warehouse Flashdrive",hp,Intel,other,SSD,17.3,1600.0,900.0,2.381358,0,Silver,16,Intel,Windows,512,Laptop,Other,3.0,106.11306214269258,528,652.0,570.5
272,"Laptop Computer,8GB RAM 256GB SSD, Intel Celeron Processor, Laptop Computers with 1366 * 768 IPS Display,2.4/5G WiFi, Bluetooth, Type-C, TF Card, 2MP Webcam",ugrihach,Intel,other,SSD,15.6,1366.0,768.0,1.65107488,0,other,16,Intel,Other,2,Laptop,Other,2.4,100.45466986113652,18,217.60000000000002,190.39999999999998
884,"SGIN Laptops, Laptop 17 Inch, 4GB DDR4 128GB SSD Laptops Computer with Intel Core i3 Processor (up to 2.4 GHz), 60800mWh Long Battery, Webcam, Mini HDMI, USB3.2 * 2, Dual WiFi, Type-C, (Black)",sgin,Intel,ddr4,SSD,17.3,1366.0,768.0,1.84611944,0,Black,4,Intel,Other,2,Laptop,Intel I3,2.4,90.58340172449304,6,707.2,618.8
466,"Lenovo IdeaPad 1 – AMD Ryzen5-5500U – 15.6"" Full HD (1920x1080) – 8GB Memory – 512GB SSD Storage – Windows 11 - Cloud Grey – (2023 Model)",lenovo,AMD,other,SSD,15.6,1920.0,1080.0,1.59664384,0,Grey,16,Intel,Windows,1,Laptop,Other,2.1,141.21199808219862,17,372.8,326.2
446,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Almond",lenovo,Intel,ddr4,SSD,15.6,1366.0,768.0,1.84611944,0,other,8,Intel,Windows,8,Laptop,Intel I3,3.0,100.45466986113652,16,356.8,312.2
504,"Apple MacBook Air (13-inch Retina display, 1.6GHz dual-core Intel Core i5, 128GB) - Space Gray (Renewed)",apple,Intel,other,Other,13.3,2560.0,1600.0,1.19748288,1,Gray,8,Intel,Other,1,Other,Other,1.7,226.98300468106115,9,403.20000000000005,352.79999999999995
626,"Early 2020 Apple MacBook Air with 1.1GHz Intel Core i3 (13-inch, 8GB RAM, 256GB SSD Storage) (QWERTY English) Space Gray (Renewed)",apple,Intel,other,SSD,13.0,2560.0,1600.0,1.63746712,1,Gray,8,Intel,Mac,1,Laptop,Intel I3,1.1,232.22107401985488,9,500.8,438.2
223,"HP Newest 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",hp,Intel,other,SSD,14.0,1366.0,768.0,2.0184844,1,Pink,4,Intel,Windows,4,Laptop,Other,2.6,111.93520355955212,8,178.4,156.1
224,"HP Portable 13.8"" HD IPS Laptop, Intel Celeron N Processor Up to 2.78GHz, 4GB DDR4, 64GB SSD, HDMI, RJ45, Webcam, Bluetooth, Windows 11, Pastel Pink(Renewed)",hp,Intel,ddr4,SSD,13.8,1366.0,768.0,1.9958048,1,Pink,4,Intel,Windows,8,Laptop,Other,2.78,113.55745288650212,12,179.20000000000002,156.79999999999998
